Id;Date;QuotationId
10237;2016-07-07T00:00:00.000Z;212
10238;2016-07-08T00:00:00.000Z;144
10239;2016-07-09T00:00:00.000Z;199
10240;2016-07-10T00:00:00.000Z;180
10241;2016-07-11T00:00:00.000Z;155
10242;2016-07-12T00:00:00.000Z;185
10243;2016-07-13T00:00:00.000Z;143
10244;2016-07-14T00:00:00.000Z;38
10245;2016-07-15T00:00:00.000Z;5
10246;2016-07-16T00:00:00.000Z;178
10247;2016-07-17T00:00:00.000Z;139
10248;2016-07-18T00:00:00.000Z;80
10249;2016-07-19T00:00:00.000Z;160
10250;2016-07-20T00:00:00.000Z;37
10251;2016-07-21T00:00:00.000Z;146
10252;2016-07-22T00:00:00.000Z;120
10253;2016-07-23T00:00:00.000Z;171
10254;2016-07-25T00:00:00.000Z;59
10255;2016-07-26T00:00:00.000Z;35
10256;2016-07-27T00:00:00.000Z;75
10257;2016-07-28T00:00:00.000Z;29
10258;2016-07-29T00:00:00.000Z;36
10259;2016-07-30T00:00:00.000Z;60
10260;2016-07-31T00:00:00.000Z;29
10261;2016-08-01T00:00:00.000Z;146
10262;2016-08-02T00:00:00.000Z;21
10263;2016-08-03T00:00:00.000Z;159
10264;2016-08-04T00:00:00.000Z;149
10265;2016-08-05T00:00:00.000Z;47
10266;2016-08-06T00:00:00.000Z;157
10267;2016-08-07T00:00:00.000Z;139
10268;2016-08-08T00:00:00.000Z;163
10269;2016-08-09T00:00:00.000Z;99
10270;2016-08-10T00:00:00.000Z;145
10271;2016-08-11T00:00:00.000Z;12
10272;2016-08-13T00:00:00.000Z;81
10273;2016-08-14T00:00:00.000Z;209
10274;2016-08-15T00:00:00.000Z;86
10275;2016-08-16T00:00:00.000Z;12
10276;2016-08-17T00:00:00.000Z;149
10277;2016-08-19T00:00:00.000Z;186
10278;2016-08-20T00:00:00.000Z;164
10279;2016-08-21T00:00:00.000Z;68
10280;2016-08-22T00:00:00.000Z;54
10281;2016-08-23T00:00:00.000Z;137
10282;2016-08-24T00:00:00.000Z;193
10283;2016-08-25T00:00:00.000Z;156
10284;2016-08-26T00:00:00.000Z;23
10285;2016-08-28T00:00:00.000Z;47
10286;2016-08-29T00:00:00.000Z;209
10287;2016-08-31T00:00:00.000Z;47
10288;2016-09-01T00:00:00.000Z;132
10289;2016-09-03T00:00:00.000Z;119
10290;2016-09-05T00:00:00.000Z;79
10291;2016-09-06T00:00:00.000Z;217
10292;2016-09-08T00:00:00.000Z;157
10293;2016-09-09T00:00:00.000Z;42
10294;2016-09-10T00:00:00.000Z;18
10295;2016-09-11T00:00:00.000Z;81
10296;2016-09-12T00:00:00.000Z;35
10297;2016-09-13T00:00:00.000Z;162
10298;2016-09-15T00:00:00.000Z;138
