Id;Date;QuotationId
10297;2016-09-13 00:00:00.000;162
10298;2016-09-15 00:00:00.000;138
10299;2016-09-16 00:00:00.000;127
10300;2016-09-17 00:00:00.000;64
10301;2016-09-18 00:00:00.000;147
10302;2016-09-19 00:00:00.000;148
10303;2016-09-20 00:00:00.000;214
10304;2016-09-21 00:00:00.000;211
10305;2016-09-22 00:00:00.000;218
10306;2016-09-23 00:00:00.000;124
10307;2016-09-24 00:00:00.000;59
10308;2016-09-26 00:00:00.000;189
10309;2016-09-27 00:00:00.000;198
10310;2016-09-28 00:00:00.000;1
10311;2016-09-29 00:00:00.000;207
10312;2016-10-01 00:00:00.000;210
10313;2016-10-03 00:00:00.000;187
10314;2016-10-04 00:00:00.000;140
10315;2016-10-05 00:00:00.000;175
10316;2016-10-07 00:00:00.000;57
10317;2016-10-09 00:00:00.000;205
10318;2016-10-10 00:00:00.000;109
10319;2016-10-11 00:00:00.000;81
10320;2016-10-12 00:00:00.000;182
10321;2016-10-13 00:00:00.000;86
10322;2016-10-15 00:00:00.000;110
10323;2016-10-16 00:00:00.000;128
10324;2016-10-17 00:00:00.000;173
10325;2016-10-18 00:00:00.000;154
10326;2016-10-19 00:00:00.000;87
10327;2016-10-20 00:00:00.000;138
10328;2016-10-21 00:00:00.000;176
10329;2016-10-22 00:00:00.000;9
10330;2016-10-23 00:00:00.000;11
10331;2016-10-24 00:00:00.000;191
10332;2016-10-25 00:00:00.000;14
10333;2016-10-27 00:00:00.000;210
10334;2016-10-28 00:00:00.000;108
10335;2016-10-29 00:00:00.000;144
10336;2016-10-30 00:00:00.000;166
10337;2016-10-31 00:00:00.000;117
10338;2016-11-01 00:00:00.000;24
10339;2016-11-02 00:00:00.000;74
10340;2016-11-03 00:00:00.000;95
10341;2016-11-04 00:00:00.000;70
10342;2016-11-05 00:00:00.000;24
10343;2016-11-06 00:00:00.000;42
10344;2016-11-07 00:00:00.000;67
10345;2016-11-08 00:00:00.000;158
10346;2016-11-09 00:00:00.000;83
10347;2016-11-10 00:00:00.000;10
10348;2016-11-11 00:00:00.000;10
10349;2016-11-13 00:00:00.000;98
10350;2016-11-14 00:00:00.000;57
10351;2016-11-15 00:00:00.000;200
10352;2016-11-16 00:00:00.000;105
10353;2016-11-17 00:00:00.000;51
10354;2016-11-18 00:00:00.000;72
10355;2016-11-21 00:00:00.000;5
10356;2016-11-22 00:00:00.000;45
10357;2016-11-23 00:00:00.000;58
10358;2016-11-24 00:00:00.000;22
10359;2016-11-25 00:00:00.000;62
10360;2016-11-26 00:00:00.000;37
10361;2016-11-27 00:00:00.000;12
10362;2016-11-28 00:00:00.000;155
10363;2016-11-30 00:00:00.000;162
10364;2016-12-01 00:00:00.000;174
10365;2016-12-02 00:00:00.000;71
10366;2016-12-03 00:00:00.000;435
10367;2016-12-04 00:00:00.000;166
10368;2016-12-05 00:00:00.000;109
10369;2016-12-06 00:00:00.000;25
10370;2016-12-07 00:00:00.000;118
10371;2016-12-08 00:00:00.000;128
10372;2016-12-09 00:00:00.000;2
10373;2016-12-11 00:00:00.000;34
10374;2016-12-12 00:00:00.000;85
10375;2016-12-13 00:00:00.000;104
10376;2016-12-14 00:00:00.000;183
10377;2016-12-15 00:00:00.000;63
10378;2016-12-16 00:00:00.000;213
10379;2016-12-19 00:00:00.000;85
10380;2016-12-20 00:00:00.000;62
10381;2016-12-21 00:00:00.000;20
10382;2016-12-22 00:00:00.000;76
10383;2016-12-23 00:00:00.000;106
10384;2016-12-24 00:00:00.000;50
10385;2016-12-26 00:00:00.000;43
10386;2016-12-27 00:00:00.000;5
10387;2016-12-28 00:00:00.000;68
10388;2016-12-29 00:00:00.000;197
10389;2016-12-30 00:00:00.000;95
10390;2016-12-31 00:00:00.000;89
10391;2017-01-01 00:00:00.000;26
10392;2017-01-02 00:00:00.000;33
10393;2017-01-03 00:00:00.000;76
10394;2017-01-04 00:00:00.000;182
10395;2017-01-05 00:00:00.000;197
10396;2017-01-06 00:00:00.000;134
10397;2017-01-07 00:00:00.000;82
10398;2017-01-08 00:00:00.000;197
10399;2017-01-09 00:00:00.000;156
10400;2017-01-10 00:00:00.000;37
10401;2017-01-11 00:00:00.000;10
10402;2017-01-12 00:00:00.000;147
10403;2017-01-13 00:00:00.000;23
10404;2017-01-14 00:00:00.000;72
10405;2017-01-15 00:00:00.000;103
10406;2017-01-16 00:00:00.000;74
10407;2017-01-17 00:00:00.000;199
10408;2017-01-18 00:00:00.000;82
10409;2017-01-19 00:00:00.000;40
10410;2017-01-20 00:00:00.000;172
10411;2017-01-21 00:00:00.000;166
10412;2017-01-23 00:00:00.000;60
10413;2017-01-24 00:00:00.000;102
10414;2017-01-26 00:00:00.000;72
10415;2017-01-27 00:00:00.000;201
10416;2017-01-28 00:00:00.000;191
10417;2017-01-29 00:00:00.000;193
10418;2017-01-30 00:00:00.000;158
10419;2017-01-31 00:00:00.000;171
10420;2017-02-01 00:00:00.000;170
10421;2017-02-02 00:00:00.000;175
10422;2017-02-03 00:00:00.000;190
10423;2017-02-04 00:00:00.000;113
10424;2017-02-06 00:00:00.000;40
10425;2017-02-07 00:00:00.000;123
10426;2017-02-08 00:00:00.000;7
10427;2017-02-09 00:00:00.000;133
10428;2017-02-10 00:00:00.000;14
10429;2017-02-11 00:00:00.000;157
10430;2017-02-12 00:00:00.000;35
10431;2017-02-13 00:00:00.000;175
10432;2017-02-14 00:00:00.000;49
10433;2017-02-15 00:00:00.000;32
10434;2017-02-16 00:00:00.000;21
10435;2017-02-18 00:00:00.000;50
10436;2017-02-19 00:00:00.000;104
10437;2017-02-20 00:00:00.000;74
10438;2017-02-21 00:00:00.000;141
10439;2017-02-23 00:00:00.000;78
10440;2017-02-24 00:00:00.000;232
10441;2017-02-25 00:00:00.000;125
10442;2017-02-26 00:00:00.000;137
10443;2017-02-27 00:00:00.000;202
10444;2017-02-28 00:00:00.000;137
10445;2017-03-01 00:00:00.000;24
10446;2017-03-02 00:00:00.000;78
10447;2017-03-03 00:00:00.000;152
10448;2017-03-04 00:00:00.000;45
10449;2017-03-05 00:00:00.000;27
10450;2017-03-06 00:00:00.000;97
10451;2017-03-07 00:00:00.000;72
10452;2017-03-09 00:00:00.000;16
10453;2017-03-10 00:00:00.000;232
